Variety,Class,Size,Package,Unit,Price,Total Sales,Sales Quantity,Closing Stock,Market,Variety_labeled,Class_labeled,Size_labeled,Package_labeled,Market_labeled
HANDS,CLASS 1,EXTRA LARGE,BANANA BOX,18,167,281690,1682,11324,CAP,1,0,0,0,0
HANDS,CLASS 1,LARGE,BANANA BOX,18,151,275910,1817,3947,CAP,1,0,1,0,0
HANDS,CLASS 1,MEDIUM,BANANA BOX,18,115,39468,342,1233,CAP,1,0,2,0,0
HANDS,CLASS 2,EXTRA LARGE,BANANA BOX,18,157,52160,332,6877,CAP,1,1,0,0,0
HANDS,CLASS 2,LARGE,BANANA BOX,18,150,14550,97,2997,CAP,1,1,1,0,0
HANDS,CLASS 2,MEDIUM,BANANA BOX,18,129,2070,16,1479,CAP,1,1,2,0,0
FINGERS (SINGLE),CLASS 2,EXTRA LARGE,BANANA BOX,18,110,30250,275,74,CAP,0,1,0,0,0
FINGERS (SINGLE),CLASS 2,LARGE,BANANA BOX,18,100,10000,100,61,CAP,0,1,1,0,0
FINGERS (SINGLE),CLASS 2,MEDIUM,BANANA BOX,18,91,8940,98,5,CAP,0,1,2,0,0
FINGERS (SINGLE),CLASS 2,EXTRA LARGE,BANANA BOX,18,110,30250,275,74,CAP,0,1,0,0,0
FINGERS (SINGLE),CLASS 2,LARGE,BANANA BOX,18,100,10000,100,61,CAP,0,1,1,0,0
FINGERS (SINGLE),CLASS 2,MEDIUM,BANANA BOX,18,91,8940,98,5,CAP,0,1,2,0,0
FINGERS (SINGLE),CLASS 2,EXTRA LARGE,BANANA BOX,18,110,30250,275,74,CAP,0,1,0,0,0
FINGERS (SINGLE),CLASS 2,LARGE,BANANA BOX,18,100,10000,100,61,CAP,0,1,1,0,0
FINGERS (SINGLE),CLASS 2,MEDIUM,BANANA BOX,18,91,8940,98,5,CAP,0,1,2,0,0
FINGERS (SINGLE),CLASS 1,EXTRA LARGE,BANANA BOX,18,120,12000,100,80,CAP,0,0,0,0,0
FINGERS (SINGLE),CLASS 1,LARGE,BANANA BOX,18,110,10450,95,153,CAP,0,0,1,0,0
FINGERS (SINGLE),CLASS 1,MEDIUM,BANANA BOX,18,100,20400,204,150,CAP,0,0,2,0,0
FINGERS (SINGLE),CLASS 1,EXTRA LARGE,BANANA BOX,18,120,12000,100,80,CAP,0,0,0,0,0
FINGERS (SINGLE),CLASS 1,LARGE,BANANA BOX,18,110,10450,95,153,CAP,0,0,1,0,0
FINGERS (SINGLE),CLASS 1,MEDIUM,BANANA BOX,18,100,20400,204,150,CAP,0,0,2,0,0
FINGERS (SINGLE),CLASS 1,EXTRA LARGE,BANANA BOX,18,120,12000,100,80,CAP,0,0,0,0,0
FINGERS (SINGLE),CLASS 1,LARGE,BANANA BOX,18,110,10450,95,153,CAP,0,0,1,0,0
FINGERS (SINGLE),CLASS 1,MEDIUM,BANANA BOX,18,100,20400,204,150,CAP,0,0,2,0,0
HANDS,CLASS 1,EXTRA LARGE,BANANA BOX,18,169,635560,3745,11906,CAP,1,0,0,0,0
HANDS,CLASS 1,LARGE,BANANA BOX,18,145,177690,1223,4977,CAP,1,0,1,0,0
HANDS,CLASS 1,MEDIUM,BANANA BOX,18,122,83344,682,1575,CAP,1,0,2,0,0
HANDS,CLASS 1,EXTRA LARGE,BANANA BOX,18,169,635560,3745,11906,CAP,1,0,0,0,0
HANDS,CLASS 1,LARGE,BANANA BOX,18,145,177690,1223,4977,CAP,1,0,1,0,0
HANDS,CLASS 1,MEDIUM,BANANA BOX,18,122,83344,682,1575,CAP,1,0,2,0,0
HANDS,CLASS 1,EXTRA LARGE,BANANA BOX,18,169,635560,3745,11906,CAP,1,0,0,0,0
HANDS,CLASS 1,LARGE,BANANA BOX,18,145,177690,1223,4977,CAP,1,0,1,0,0
HANDS,CLASS 1,MEDIUM,BANANA BOX,18,122,83344,682,1575,CAP,1,0,2,0,0
HANDS,CLASS 2,EXTRA LARGE,BANANA BOX,18,150,211580,1407,6359,CAP,1,1,0,0,0
HANDS,CLASS 2,LARGE,BANANA BOX,18,132,54630,411,2794,CAP,1,1,1,0,0
HANDS,CLASS 2,MEDIUM,BANANA BOX,18,120,12390,103,1482,CAP,1,1,2,0,0
HANDS,CLASS 2,EXTRA LARGE,BANANA BOX,18,150,211580,1407,6359,CAP,1,1,0,0,0
HANDS,CLASS 2,LARGE,BANANA BOX,18,132,54630,411,2794,CAP,1,1,1,0,0
HANDS,CLASS 2,MEDIUM,BANANA BOX,18,120,12390,103,1482,CAP,1,1,2,0,0
HANDS,CLASS 2,EXTRA LARGE,BANANA BOX,18,150,211580,1407,6359,CAP,1,1,0,0,0
HANDS,CLASS 2,LARGE,BANANA BOX,18,132,54630,411,2794,CAP,1,1,1,0,0
HANDS,CLASS 2,MEDIUM,BANANA BOX,18,120,12390,103,1482,CAP,1,1,2,0,0
FINGERS (SINGLE),CLASS 2,MEDIUM,BANANA BOX,18,80,80,1,103,CAP,0,1,2,0,0
FINGERS (SINGLE),CLASS 2,MEDIUM,BANANA BOX,18,80,80,1,103,CAP,0,1,2,0,0
FINGERS (SINGLE),CLASS 2,MEDIUM,BANANA BOX,18,80,80,1,103,CAP,0,1,2,0,0
FINGERS (SINGLE),CLASS 2,MEDIUM,BANANA BOX,18,80,80,1,103,CAP,0,1,2,0,0
FINGERS (SINGLE),CLASS 1,LARGE,BANANA BOX,18,80,4000,50,198,CAP,0,0,1,0,0
FINGERS (SINGLE),CLASS 1,LARGE,BANANA BOX,18,80,4000,50,198,CAP,0,0,1,0,0
FINGERS (SINGLE),CLASS 1,LARGE,BANANA BOX,18,80,4000,50,198,CAP,0,0,1,0,0
FINGERS (SINGLE),CLASS 1,LARGE,BANANA BOX,18,80,4000,50,198,CAP,0,0,1,0,0
HANDS,CLASS 1,EXTRA LARGE,BANANA BOX,18,159,437320,2734,14901,CAP,1,0,0,0,0
HANDS,CLASS 1,LARGE,BANANA BOX,18,145,234370,1614,5731,CAP,1,0,1,0,0
HANDS,CLASS 1,MEDIUM,BANANA BOX,18,122,110174,897,1857,CAP,1,0,2,0,0
HANDS,CLASS 1,EXTRA LARGE,BANANA BOX,18,159,437320,2734,14901,CAP,1,0,0,0,0
HANDS,CLASS 1,LARGE,BANANA BOX,18,145,234370,1614,5731,CAP,1,0,1,0,0
HANDS,CLASS 1,MEDIUM,BANANA BOX,18,122,110174,897,1857,CAP,1,0,2,0,0
HANDS,CLASS 1,EXTRA LARGE,BANANA BOX,18,159,437320,2734,14901,CAP,1,0,0,0,0
HANDS,CLASS 1,LARGE,BANANA BOX,18,145,234370,1614,5731,CAP,1,0,1,0,0
HANDS,CLASS 1,MEDIUM,BANANA BOX,18,122,110174,897,1857,CAP,1,0,2,0,0
HANDS,CLASS 1,EXTRA LARGE,BANANA BOX,18,159,437320,2734,14901,CAP,1,0,0,0,0
HANDS,CLASS 1,LARGE,BANANA BOX,18,145,234370,1614,5731,CAP,1,0,1,0,0
HANDS,CLASS 1,MEDIUM,BANANA BOX,18,122,110174,897,1857,CAP,1,0,2,0,0
HANDS,CLASS 2,EXTRA LARGE,BANANA BOX,18,150,77005,511,7666,CAP,1,1,0,0,0
HANDS,CLASS 2,LARGE,BANANA BOX,18,138,59300,428,2955,CAP,1,1,1,0,0
HANDS,CLASS 2,MEDIUM,BANANA BOX,18,117,38690,328,1404,CAP,1,1,2,0,0
HANDS,CLASS 2,SMALL,BANANA BOX,18,80,28800,360,0,CAP,1,1,3,0,0
HANDS,CLASS 2,EXTRA LARGE,BANANA BOX,18,150,77005,511,7666,CAP,1,1,0,0,0
HANDS,CLASS 2,LARGE,BANANA BOX,18,138,59300,428,2955,CAP,1,1,1,0,0
HANDS,CLASS 2,MEDIUM,BANANA BOX,18,117,38690,328,1404,CAP,1,1,2,0,0
HANDS,CLASS 2,SMALL,BANANA BOX,18,80,28800,360,0,CAP,1,1,3,0,0
HANDS,CLASS 2,EXTRA LARGE,BANANA BOX,18,150,77005,511,7666,CAP,1,1,0,0,0
HANDS,CLASS 2,LARGE,BANANA BOX,18,138,59300,428,2955,CAP,1,1,1,0,0
HANDS,CLASS 2,MEDIUM,BANANA BOX,18,117,38690,328,1404,CAP,1,1,2,0,0
HANDS,CLASS 2,SMALL,BANANA BOX,18,80,28800,360,0,CAP,1,1,3,0,0
HANDS,CLASS 2,EXTRA LARGE,BANANA BOX,18,150,77005,511,7666,CAP,1,1,0,0,0
HANDS,CLASS 2,LARGE,BANANA BOX,18,138,59300,428,2955,CAP,1,1,1,0,0
HANDS,CLASS 2,MEDIUM,BANANA BOX,18,117,38690,328,1404,CAP,1,1,2,0,0
HANDS,CLASS 2,SMALL,BANANA BOX,18,80,28800,360,0,CAP,1,1,3,0,0
HANDS,CLASS 1,EXTRA LARGE,BANANA BOX,18,162,256290,1575,15866,CAP,1,0,0,0,0
HANDS,CLASS 1,LARGE,BANANA BOX,18,123,60380,489,5753,CAP,1,0,1,0,0
HANDS,CLASS 1,MEDIUM,BANANA BOX,18,121,27150,224,2086,CAP,1,0,2,0,0
HANDS,CLASS 1,EXTRA LARGE,BANANA BOX,18,162,256290,1575,15866,CAP,1,0,0,0,0
HANDS,CLASS 1,LARGE,BANANA BOX,18,123,60380,489,5753,CAP,1,0,1,0,0
HANDS,CLASS 1,MEDIUM,BANANA BOX,18,121,27150,224,2086,CAP,1,0,2,0,0
HANDS,CLASS 2,EXTRA LARGE,BANANA BOX,18,155,41850,270,7369,CAP,1,1,0,0,0
HANDS,CLASS 2,MEDIUM,BANANA BOX,18,110,5500,50,1577,CAP,1,1,2,0,0
HANDS,CLASS 2,EXTRA LARGE,BANANA BOX,18,155,41850,270,7369,CAP,1,1,0,0,0
HANDS,CLASS 2,MEDIUM,BANANA BOX,18,110,5500,50,1577,CAP,1,1,2,0,0
HANDS,CLASS 1,EXTRA LARGE,BANANA BOX,18,158,267645,1684,15391,CAP,1,0,0,0,0
HANDS,CLASS 1,LARGE,BANANA BOX,18,131,108090,822,5041,CAP,1,0,1,0,0
HANDS,CLASS 1,MEDIUM,BANANA BOX,18,119,57290,479,2010,CAP,1,0,2,0,0
HANDS,CLASS 1,EXTRA LARGE,BANANA BOX,18,158,267645,1684,15391,CAP,1,0,0,0,0
HANDS,CLASS 1,LARGE,BANANA BOX,18,131,108090,822,5041,CAP,1,0,1,0,0
HANDS,CLASS 1,MEDIUM,BANANA BOX,18,119,57290,479,2010,CAP,1,0,2,0,0
HANDS,CLASS 2,EXTRA LARGE,BANANA BOX,18,153,54370,355,6410,CAP,1,1,0,0,0
HANDS,CLASS 2,LARGE,BANANA BOX,18,134,51590,385,3180,CAP,1,1,1,0,0
HANDS,CLASS 2,MEDIUM,BANANA BOX,18,101,11650,115,1122,CAP,1,1,2,0,0
HANDS,CLASS 2,EXTRA LARGE,BANANA BOX,18,153,54370,355,6410,CAP,1,1,0,0,0
HANDS,CLASS 2,LARGE,BANANA BOX,18,134,51590,385,3180,CAP,1,1,1,0,0
HANDS,CLASS 2,MEDIUM,BANANA BOX,18,101,11650,115,1122,CAP,1,1,2,0,0
FINGERS (SINGLE),CLASS 2,LARGE,BANANA BOX,18,110,16500,150,0,CAP,0,1,1,0,0
FINGERS (SINGLE),CLASS 2,MEDIUM,BANANA BOX,18,100,500,5,116,CAP,0,1,2,0,0
FINGERS (SINGLE),CLASS 1,EXTRA LARGE,BANANA BOX,18,96,14500,150,88,CAP,0,0,0,0,0
FINGERS (SINGLE),CLASS 1,LARGE,BANANA BOX,18,120,7200,60,154,CAP,0,0,1,0,0
HANDS,CLASS 1,EXTRA LARGE,BANANA BOX,18,161,416020,2580,14225,CAP,1,0,0,0,0
HANDS,CLASS 1,LARGE,BANANA BOX,18,125,167810,1332,4863,CAP,1,0,1,0,0
HANDS,CLASS 1,MEDIUM,BANANA BOX,18,116,77940,671,2089,CAP,1,0,2,0,0
HANDS,CLASS 2,EXTRA LARGE,BANANA BOX,18,150,197250,1315,6115,CAP,1,1,0,0,0
HANDS,CLASS 2,LARGE,BANANA BOX,18,131,89630,681,3365,CAP,1,1,1,0,0
HANDS,CLASS 2,MEDIUM,BANANA BOX,18,103,12400,120,1237,CAP,1,1,2,0,0
FINGERS (SINGLE),CLASS 2,EXTRA LARGE,BANANA BOX,18,113,65350,575,350,CAP,0,1,0,0,0
FINGERS (SINGLE),CLASS 2,LARGE,BANANA BOX,18,100,56090,560,150,CAP,0,1,1,0,0
FINGERS (SINGLE),CLASS 2,MEDIUM,BANANA BOX,18,90,12420,138,121,CAP,0,1,2,0,0
FINGERS (SINGLE),CLASS 2,EXTRA LARGE,BANANA BOX,18,113,65350,575,350,CAP,0,1,0,0,0
FINGERS (SINGLE),CLASS 2,LARGE,BANANA BOX,18,100,56090,560,150,CAP,0,1,1,0,0
FINGERS (SINGLE),CLASS 2,MEDIUM,BANANA BOX,18,90,12420,138,121,CAP,0,1,2,0,0
FINGERS (SINGLE),CLASS 2,EXTRA LARGE,BANANA BOX,18,113,65350,575,350,CAP,0,1,0,0,0
FINGERS (SINGLE),CLASS 2,LARGE,BANANA BOX,18,100,56090,560,150,CAP,0,1,1,0,0
