Variety,Class,Size,Package,Unit,Price,Total Sales,Sales Quantity,Closing Stock,Market,variety_labeled,class_labeled,size_labeled,package_labeled,market_labeled,kg_price
BRAEBURN,CLASS 1,LARGE,CARTON,18,160,160,1,37,BLO,0,1,2,1,0,8.89
BRAEBURN,CLASS 2,LARGE,DOMPLE JUMBLE,9,75,12970,172,0,BLO,0,0,2,0,0,8.33
BRAEBURN,CLASS 2,MEDIUM,DOMPLE JUMBLE,9,80,560,7,180,BLO,0,0,4,0,0,8.89
BRAEBURN,CLASS 2,LARGE,DOMPLE JUMBLE,9,75,12970,172,0,BLO,0,0,2,0,0,8.33
BRAEBURN,CLASS 2,MEDIUM,DOMPLE JUMBLE,9,80,560,7,180,BLO,0,0,4,0,0,8.89
CRIPPS PINK,CLASS 1,SMALL,CARTON,18,109,4045,37,94,BLO,1,1,3,1,0,6.06
CRIPPS PINK,CLASS 1,SMALL,CARTON,18,109,4045,37,94,BLO,1,1,3,1,0,6.06
CRIPPS RED,CLASS 1,MEDIUM,ECONOMIC PACK,12,152,304,2,0,BLO,2,1,4,2,0,12.67
CRIPPS RED,CLASS 1,SMALL,ECONOMIC PACK,12,139,1668,12,117,BLO,2,1,3,2,0,11.58
CRIPPS RED,CLASS 1,MEDIUM,ECONOMIC PACK,12,152,304,2,0,BLO,2,1,4,2,0,12.67
CRIPPS RED,CLASS 1,SMALL,ECONOMIC PACK,12,139,1668,12,117,BLO,2,1,3,2,0,11.58
CRIPPS RED,CLASS 2,LARGE,DOMPLE JUMBLE,9,80,645,8,523,BLO,2,0,2,0,0,8.89
CRIPPS RED,CLASS 2,UNDER SIZE,DOMPLE JUMBLE,9,75,375,5,29,BLO,2,0,0,0,0,8.33
CRIPPS RED,CLASS 2,LARGE,DOMPLE JUMBLE,9,80,645,8,523,BLO,2,0,2,0,0,8.89
CRIPPS RED,CLASS 2,UNDER SIZE,DOMPLE JUMBLE,9,75,375,5,29,BLO,2,0,0,0,0,8.33
FUJI,CLASS 2,SMALL,CARTON,18,105,105,1,0,BLO,3,0,3,1,0,5.83
FUJI,CLASS 1,LARGE,CARTON,18,170,170,1,32,BLO,3,1,2,1,0,9.44
FUJI,CLASS 2,LARGE,CARTON,18,101,710,7,69,BLO,3,0,2,1,0,5.61
FUJI,CLASS 1,LARGE,CARTON,18,170,170,1,32,BLO,3,1,2,1,0,9.44
FUJI,CLASS 2,LARGE,CARTON,18,101,710,7,69,BLO,3,0,2,1,0,5.61
FUJI,CLASS 2,SMALL,CARTON,18,105,105,1,0,BLO,3,0,3,1,0,5.83
FUJI,CLASS 1,SMALL,ECONOMIC PACK,12,160,7520,47,0,BLO,3,1,3,2,0,13.33
FUJI,CLASS 1,SMALL,ECONOMIC PACK,12,160,7520,47,0,BLO,3,1,3,2,0,13.33
FUJI,CLASS 2,MEDIUM,DOMPLE JUMBLE,9,75,975,13,377,BLO,3,0,4,0,0,8.33
FUJI,CLASS 2,MEDIUM,DOMPLE JUMBLE,9,75,975,13,377,BLO,3,0,4,0,0,8.33
FUJI,CLASS 2,UNDER SIZE,DOMPLE JUMBLE,9,72,144,2,357,BLO,3,0,0,0,0,8.0
FUJI,CLASS 2,UNDER SIZE,DOMPLE JUMBLE,9,72,144,2,357,BLO,3,0,0,0,0,8.0
FUJI,CLASS 2,SMALL,QUARTER POCKET,3,27,298,11,131,BLO,3,0,3,3,0,9.0
FUJI,CLASS 2,SMALL,QUARTER POCKET,3,27,298,11,131,BLO,3,0,3,3,0,9.0
