Product,Variety,Class,Size,Package,Unit,Closing Price,High Price,Low Price,Average Price,Total Sales,Sales Quantity,Closing Stock,Market
BANANAS,HANDS,NOT GRADED,MEDIUM,BANANA BOX,18.00 kg,R122.48,R160.00,R80.00,R122.49,R63570,519,3407,Durban Fresh Produce Market (DUR)
BANANAS,HANDS,NOT GRADED,MEDIUM,PUNNET PACK (Pre Pack),16.00 kg,R107.68,R120.00,R80.00,R107.68,R36720,341,5356,Durban Fresh Produce Market (DUR)
BANANAS,HANDS,NOT GRADED,EXTRA LARGE,BANANA BOX,18.00 kg,R166.98,R250.00,R100.00,R166.99,R274030,1641,9027,Durban Fresh Produce Market (DUR)
BANANAS,HANDS,NOT GRADED,EXTRA LARGE,PUNNET PACK (Pre Pack),16.00 kg,R140.00,R140.00,R140.00,R140.00,R2520,18,139,Durban Fresh Produce Market (DUR)
BANANAS,HANDS,NOT GRADED,LARGE,BANANA BOX,18.00 kg,R136.40,R220.00,R80.00,R136.41,R124539,913,6325,Durban Fresh Produce Market (DUR)
BANANAS,HANDS,NOT GRADED,LARGE,PUNNET PACK (Pre Pack),16.00 kg,R110.00,R110.00,R110.00,R110.00,R2750,25,515,Durban Fresh Produce Market (DUR)
BANANAS,HANDS,NOT GRADED,MEDIUM,BANANA BOX,18.00 kg,R122.48,R160.00,R80.00,R122.49,R63570,519,3407,Durban Fresh Produce Market (DUR)
BANANAS,HANDS,NOT GRADED,MEDIUM,PUNNET PACK (Pre Pack),16.00 kg,R107.68,R120.00,R80.00,R107.68,R36720,341,5356,Durban Fresh Produce Market (DUR)
BANANAS,LOWER GRADE BANANAS,NOT GRADED,EXTRA LARGE,BANANA BOX,18.00 kg,R145.48,R170.00,R120.00,R145.49,R138070,949,2892,Durban Fresh Produce Market (DUR)
BANANAS,LOWER GRADE BANANAS,NOT GRADED,LARGE,BANANA BOX,18.00 kg,R124.25,R140.00,R100.00,R124.26,R65360,526,3092,Durban Fresh Produce Market (DUR)
BANANAS,LOWER GRADE BANANAS,NOT GRADED,MEDIUM,BANANA BOX,18.00 kg,R114.35,R120.00,R80.00,R114.36,R32820,287,1327,Durban Fresh Produce Market (DUR)
BANANAS,LOWER GRADE BANANAS,NOT GRADED,SMALL,BANANA BOX,18.00 kg,R102.47,R110.00,R80.00,R102.47,R9530,93,607,Durban Fresh Produce Market (DUR)
BANANAS,LOWER GRADE BANANAS,NOT GRADED,EXTRA LARGE,BANANA BOX,18.00 kg,R145.48,R170.00,R120.00,R145.49,R138070,949,2892,Durban Fresh Produce Market (DUR)
BANANAS,LOWER GRADE BANANAS,NOT GRADED,LARGE,BANANA BOX,18.00 kg,R124.25,R140.00,R100.00,R124.26,R65360,526,3092,Durban Fresh Produce Market (DUR)
BANANAS,LOWER GRADE BANANAS,NOT GRADED,MEDIUM,BANANA BOX,18.00 kg,R114.35,R120.00,R80.00,R114.36,R32820,287,1327,Durban Fresh Produce Market (DUR)
BANANAS,LOWER GRADE BANANAS,NOT GRADED,SMALL,BANANA BOX,18.00 kg,R102.47,R110.00,R80.00,R102.47,R9530,93,607,Durban Fresh Produce Market (DUR)
BANANAS,FINGERS (SINGLE),NOT GRADED,EXTRA LARGE,BANANA BOX,18.00 kg,R110.00,R110.00,R110.00,R110.00,R5500,50,79,Durban Fresh Produce Market (DUR)
BANANAS,FINGERS (SINGLE),NOT GRADED,LARGE,BANANA BOX,18.00 kg,R107.06,R130.00,R100.00,R107.06,R11670,109,106,Durban Fresh Produce Market (DUR)
BANANAS,FINGERS (SINGLE),NOT GRADED,MEDIUM,BANANA BOX,18.00 kg,R90.00,R90.00,R90.00,R90.00,R810,9,243,Durban Fresh Produce Market (DUR)
BANANAS,FINGERS (SINGLE),NOT GRADED,EXTRA LARGE,BANANA BOX,18.00 kg,R110.00,R110.00,R110.00,R110.00,R5500,50,79,Durban Fresh Produce Market (DUR)
BANANAS,FINGERS (SINGLE),NOT GRADED,LARGE,BANANA BOX,18.00 kg,R107.06,R130.00,R100.00,R107.06,R11670,109,106,Durban Fresh Produce Market (DUR)
