Product,Variety,Class,Size,Package,Unit,Closing Price,High Price,Low Price,Average Price,Total Sales,Sales Quantity,Closing Stock,Market
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BULK PACK (BOX),1.00 kg,R105.00,R105.00,R105.00,R105.00,R210,2,241,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BULK PACK (BOX),1.00 kg,R0.00,R0.00,R0.00,R�,R0,0,243,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BULK PACK (BOX),1.00 kg,R0.00,R0.00,R0.00,R�,R0,0,243,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BULK PACK (BOX),1.00 kg,R105.00,R105.00,R105.00,R105.00,R1155,11,243,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BULK PACK (BOX),1.00 kg,R105.00,R105.00,R105.00,R105.00,R1155,11,243,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BULK PACK (BOX),1.00 kg,R105.00,R105.00,R105.00,R105.00,R1155,11,243,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BULK PACK (BOX),1.00 kg,R0.00,R0.00,R0.00,R�,R0,0,254,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BULK PACK (BOX),1.00 kg,R0.00,R0.00,R0.00,R�,R0,0,254,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BULK PACK (BOX),1.00 kg,R0.00,R0.00,R0.00,R�,R0,0,254,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BULK PACK (BOX),1.00 kg,R0.00,R0.00,R0.00,R�,R0,0,254,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BULK PACK (BOX),1.00 kg,R0.00,R0.00,R0.00,R�,R0,0,254,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BULK PACK (BOX),1.00 kg,R0.00,R0.00,R0.00,R�,R0,0,254,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BULK PACK (BOX),1.00 kg,R0.00,R0.00,R0.00,R�,R0,0,254,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BULK PACK (BOX),1.00 kg,R0.00,R0.00,R0.00,R�,R0,0,254,Cape Town Fresh Produce Market (CAP)
